Student,Grade,Gender,Extra Care,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5
S_01,4,Girl,Yes,S_80,S_70,S_56,S_87,S_59
S_02,6,Boy,Yes,S_17,S_73,S_53,S_71,S_35
S_03,5,Boy,No,S_15,S_30,S_60,S_73,S_20
S_04,6,Girl,No,S_55,S_35,S_45,S_31,S_45
S_05,6,Girl,Yes,S_09,S_70,S_91,S_16,S_10
S_06,5,Boy,No,S_04,S_02,S_62,S_08,S_42
S_07,5,Boy,No,S_66,S_31,S_35,S_83,S_93
S_08,6,Girl,Yes,S_27,S_27,S_64,S_80,S_84
S_09,4,Girl,No,S_13,S_87,S_58,S_86,S_53
S_10,5,Girl,No,S_37,S_32,S_74,S_07,S_91
S_11,4,Girl,No,S_87,S_24,S_65,S_10,S_06
S_12,4,Boy,Yes,S_34,S_65,S_90,S_06,S_85
S_13,6,Girl,No,S_29,S_63,S_59,S_05,S_63
S_14,5,Girl,Yes,S_56,S_19,S_39,S_49,S_22
S_15,5,Boy,No,S_21,S_25,S_93,S_84,S_72
S_16,5,Girl,No,S_70,S_20,S_89,S_40,S_05
S_17,6,Boy,Yes,S_91,S_68,S_96,S_81,S_46
S_18,4,Boy,Yes,S_36,S_21,S_88,S_15,S_16
S_19,5,Boy,No,S_43,S_08,S_26,S_97,S_15
S_20,6,Boy,No,S_40,S_04,S_39,S_60,S_95
S_21,5,Girl,No,S_06,S_70,S_36,S_97,S_82
S_22,5,Girl,No,S_04,S_87,S_80,S_95,S_45
S_23,5,Boy,Yes,S_63,S_35,S_13,S_11,S_44
S_24,4,Boy,No,S_55,S_01,S_78,S_23,S_23
S_25,4,Boy,No,S_36,S_58,S_06,S_66,S_64
S_26,5,Girl,No,S_06,S_23,S_28,S_33,S_15
S_27,6,Boy,No,S_81,S_19,S_10,S_55,S_71
S_28,6,Girl,No,S_52,S_31,S_63,S_93,S_06
S_29,6,Girl,No,S_88,S_55,S_10,S_40,S_77
S_30,6,Boy,No,S_47,S_56,S_80,S_59,S_44
S_31,5,Boy,No,S_77,S_78,S_35,S_32,S_60
S_32,6,Girl,No,S_90,S_68,S_84,S_83,S_65
S_33,5,Boy,No,S_34,S_56,S_66,S_77,S_28
S_34,6,Girl,No,S_25,S_32,S_86,S_05,S_41
S_35,4,Girl,No,S_56,S_51,S_86,S_02,S_62
S_36,5,Boy,No,S_30,S_01,S_92,S_68,S_48
S_37,4,Boy,Yes,S_24,S_55,S_75,S_47,S_55
S_38,6,Boy,No,S_21,S_33,S_04,S_30,S_51
S_39,4,Girl,No,S_06,S_57,S_16,S_26,S_38
